itemID,comunaCode,locality,startDate,status,eomCount,givCount,serviceable,facility,deliveryType,availableEomOptions,availableGivOptions,PresentinEomnotGiv,PresentinGivnotEom
196958999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,34581,VEVPD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
196959999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,34581,VEVPD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
197000999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,34581,VEVPD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
197007999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,34581,VEVPD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
197010999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,34581,VEVPD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
197014999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,34581,VEVPD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
197016999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,34581,VEVPD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
197238002,130106,13114,2025-03-04,identical,5,5,SERVICEABLE IN BOTH,100,CD,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED,0,0
197238003,130106,13114,2025-03-04,identical,5,5,SERVICEABLE IN BOTH,100,CD,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED,0,0
197238004,130106,13114,2025-03-04,identical,5,5,SERVICEABLE IN BOTH,100,CD,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED,0,0
